"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"327",="8112","至上","市","06/02","48.2","-0.05","-0.1","10","45.8","42.85","207","35.3","18.3","","","有","有","","有","電子通路業","葛均","葛均"
"328","00679B","元大美債20年","櫃","06/02","34.49","+0.26","+0.76","","","59.62","206","","5.4","","","","","","","N/A","",""
"329",="6469","大樹","櫃","06/02","288.5","-2.5","-0.86","10","7.07","7.09","205","21.1","6.2","","","有","有","","","生技醫療業","鄭明龍","鄭明龍"
"330",="3218","大學光","櫃","06/02","267.5","+6","+2.29","10","7.61","7.61","204","27.8","17.5","","","有","有","","","生技醫療業","歐淑芳","盧政宏"
"331",="2540","愛山林","市","06/02","126","-2","-1.56","10","16.1","16.13","203","35.7","32.4","","","","有","","","建材營造業","祝文宇","張境在"
"332",="5388","中磊","市","06/02","80.3","-0.2","-0.25","10","25.2","25.24","203","29.9","23","","","有","有","","","通信網路業","王伯元","王煒"
"333",="2312","金寶","市","06/02","13.55","-0.1","-0.73","10","148","149.3","202","49.1","32.6","","","有","","","","其他電子業","許勝雄","陳威昌"
"334",="2328","廣宇","市","06/02","39","-0.3","-0.76","10","51.8","51.83","202","51","28.6","有","","有","","","","電子零組件業","盧松發","盧松發"
"335",="9938","百和","市","06/02","67.7","-0.4","-0.59","10","29.8","29.8","202","37.4","21.4","有","","有","","","","其他業","鄭森煤","鄭誠禕"
"336",="6274","台燿","櫃","06/02","74.5","-2.8","-3.62","10","26.9","26.91","201","48","18.5","有","","有","有","","","電子零組件業","辛忠衡","劉又如"
"337",="00891","中信關鍵半導體","市","06/02","13.8","-0.11","-0.79","","","145.1","200","","1","","","","","","","N/A","",""
"338",="3260","威剛","櫃","06/02","75","-0.9","-1.19","10","26.7","26.68","200","21.1","17.7","有","","有","有","","","半導體業","陳立白","陳玲娟"
